,Hospital Name,Bed Number,ICU Bed Number
0,Jamaica Hospital Medical Center,402,8
1,"New York Community Hospital of Brooklyn, Inc",134,7
2,Mount Sinai Hospital,1134,85
3,Nassau University Medical Center,530,22
4,Richmond University Medical Center,448,20
5,Southside Hospital,305,26
6,Huntington Hospital,348,12
7,Mount Sinai St. Luke's,495,24
8,New York-Presbyterian/Queens,535,29
9,Brooklyn Hospital Center - Downtown Campus,464,24
10,Montefiore Medical Center - Henry & Lucy Moses Div,816,48
11,New York-Presbyterian/Lower Manhattan Hospital,180,13
12,Montefiore Medical Center-Wakefield Hospital,321,16
13,Lincoln Medical & Mental Health Center,362,23
14,University Hospital - Stony Brook Eastern Long Island Hospital,70,2
15,New York Eye and Ear Infirmary of Mount Sinai,69,0
16,New York-Presbyterian Hospital - New York Weill Cornell Center,862,85
17,North Shore University Hospital,756,97
18,Peconic Bay Medical Center,140,12
19,Lenox Hill Hospital,632,15
20,Jacobi Medical Center,457,24
21,Elmhurst Hospital Center,545,20
22,Long Island Community Hospital,306,17
23,Memorial Hospital for Cancer and Allied Diseases,514,20
24,Staten Island University Hosp-North,472,36
25,NYU Winthrop Hospital,591,36
26,Mount Sinai Beth Israel,696,36
27,Glen Cove Hospital,247,11
28,St Francis Hospital,364,36
29,John T Mather Memorial Hospital of Port Jefferson New York Inc,248,12
30,Flushing Hospital Medical Center,299,12
31,Long Island Jewish Medical Center,1025,62
32,Coney Island Hospital,371,22
33,Mount Sinai South Nassau,455,14
34,Metropolitan Hospital Center,338,18
35,Bellevue Hospital Center,912,40
36,NYU Langone Hospitals,844,161
37,Wyckoff Heights Medical Center,324,16
38,Queens Hospital Center,269,16
39,Brookdale Hospital Medical Center,530,26
40,New York-Presbyterian Brooklyn Methodist Hospital,591,28
41,Henry J. Carter Specialty Hospital,201,0
42,Harlem Hospital Center,282,14
43,St Charles Hospital,243,8
44,Mercy Medical Center,375,13
45,Hospital for Special Surgery,215,4
46,Mount Sinai Hospital - Mount Sinai Hospital of Queens,228,8
47,Good Samaritan Hospital Medical Center,437,42
48,Plainview Hospital,204,8
49,St. Joseph Hospital,203,8
50,Calvary Hospital Inc,200,0
51,University Hospital - Stony Brook Southampton Hospital,124,8
52,Calvary Hospital,25,0
53,Long Island Jewish Forest Hills,312,28
54,University Hospital of Brooklyn,342,19
55,Rockefeller University Hospital,40,0
56,North Central Bronx Hospital,213,20
57,NYU Langone Orthopedic Hospital,225,0
58,University Hospital,624,65
59,St Johns Episcopal Hospital So Shore,257,8
60,Woodhull Medical & Mental Health Center,364,24
61,Interfaith Medical Center,287,13
62,St. Barnabas Hospital Health System,422,26
63,St Catherine of Siena Hospital,296,12
64,Syosset Hospital,103,12
65,Mount Sinai Brooklyn,212,12
67,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,421,22
68,New York-Presbyterian Hospital - Allen Hospital,196,6
69,New York-Presbyterian Hospital - Columbia Presbyterian Center,1022,99
70,Mount Sinai West,514,33
71,Staten Island University Hosp-South,194,8
72,RUMC-Bayley Seton,25,0
73,BronxCare Hospital Center,170,0
