,Borough,Neighborhood,Latitude,Longitude,Unnamed: 0,Population,Hospitals
0,Bronx,Wakefield,40.89470517661,-73.84720052054902,42,29158,0
1,Bronx,Co-op City,40.87429419303012,-73.82993910812398,32,43752,3
2,Bronx,Fieldston,40.89543742690383,-73.90564259591682,19,3292,1
3,Bronx,Riverdale,40.890834493891305,-73.9125854610857,22,48049,1
4,Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,20,10669,3
5,Bronx,Woodlawn,40.89827261213805,-73.86731496814176,44,42483,2
6,Bronx,Norwood,40.87722415599446,-73.8793907395681,17,40494,16
7,Bronx,Williamsbridge,40.88103887819211,-73.85744642974207,43,61321,0
8,Bronx,Baychester,40.866858107252696,-73.83579759808117,39,63345,4
9,Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999,38,30073,6
10,Bronx,Bedford Park,40.870185164975325,-73.8855121841913,16,37344,2
11,Bronx,University Heights,40.85572707719664,-73.9104159619131,11,25702,4
12,Bronx,Morris Heights,40.84789792606271,-73.91967159119565,9,36779,7
13,Bronx,Fordham,40.86099679638654,-73.89642655981623,8,43394,8
14,Bronx,East Tremont,40.84269615786053,-73.88735617532338,14,43423,7
15,Bronx,West Farms,40.83947505672653,-73.87774474910545,15,4700,2
16,Bronx,Melrose,40.819754370594936,-73.90942160757436,0,24913,8
17,Bronx,Mott Haven,40.80623874935177,-73.91609987487575,1,52413,1
18,Bronx,Port Morris,40.801663627756206,-73.91322139386135,2,3523,0
19,Bronx,Longwood,40.81509904545822,-73.8957882009446,4,26196,0
20,Bronx,Hunts Point,40.80972987938709,-73.88331505955291,3,12281,0
21,Bronx,Morrisania,40.82359198585534,-73.90150648943059,6,16863,5
22,Bronx,Soundview,40.821012197914015,-73.86574609554924,30,31825,0
23,Bronx,Clason Point,40.80655112003589,-73.85414416189266,27,9136,0
24,Bronx,Throgs Neck,40.81510925804005,-73.81635002158441,36,21009,0
25,Bronx,Parkchester,40.837937822267286,-73.85600310535783,29,40358,7
